sensor1,sensor2,sensor3,sensor4,labels
504,448,508,479,Lhemiplegia
503,465,506,475,Lhemiplegia
500,471,501,468,Lhemiplegia
498,480,491,466,Lhemiplegia
499,481,484,464,Lhemiplegia
511,478,479,480,Lhemiplegia
519,468,475,494,Lhemiplegia
520,445,473,496,Lhemiplegia
519,431,470,500,Lhemiplegia
519,423,468,502,Lhemiplegia
519,417,479,501,Lhemiplegia
518,413,514,500,Lhemiplegia
512,413,516,504,Lhemiplegia
510,412,515,494,Lhemiplegia
507,414,514,483,Lhemiplegia
505,415,512,475,Lhemiplegia
503,416,511,471,Lhemiplegia
501,413,510,467,Lhemiplegia
499,412,508,464,Lhemiplegia
497,416,505,463,Lhemiplegia
496,430,496,461,Lhemiplegia
495,458,488,460,Lhemiplegia
495,470,482,459,Lhemiplegia
508,475,478,469,Lhemiplegia
516,478,475,487,Lhemiplegia
518,453,472,491,Lhemiplegia
518,434,470,495,Lhemiplegia
517,426,468,499,Lhemiplegia
517,417,467,500,Lhemiplegia
518,414,494,497,Lhemiplegia
515,411,512,496,Lhemiplegia
510,410,516,497,Lhemiplegia
507,407,515,486,Lhemiplegia
505,403,515,477,Lhemiplegia
503,401,512,471,Lhemiplegia
501,404,509,467,Lhemiplegia
499,413,502,465,Lhemiplegia
498,446,494,462,Lhemiplegia
496,470,487,461,Lhemiplegia
495,475,481,460,Lhemiplegia
498,473,476,481,Lhemiplegia
512,477,473,494,Lhemiplegia
516,462,471,497,Lhemiplegia
518,439,469,496,Lhemiplegia
520,429,467,499,Lhemiplegia
521,421,466,504,Lhemiplegia
521,415,481,505,Lhemiplegia
519,413,512,504,Lhemiplegia
513,412,516,509,Lhemiplegia
510,407,516,504,Lhemiplegia
507,404,514,485,Lhemiplegia
505,403,514,477,Lhemiplegia
503,408,512,472,Lhemiplegia
500,429,510,468,Lhemiplegia
499,468,501,465,Lhemiplegia
498,482,493,462,Lhemiplegia
497,483,485,461,Lhemiplegia
501,481,479,483,Lhemiplegia
515,482,475,493,Lhemiplegia
520,460,472,496,Lhemiplegia
521,440,471,499,Lhemiplegia
521,429,469,506,Lhemiplegia
520,420,468,509,Lhemiplegia
519,417,492,509,Lhemiplegia
516,413,510,506,Lhemiplegia
512,411,514,503,Lhemiplegia
509,407,514,491,Lhemiplegia
507,404,513,481,Lhemiplegia
504,403,512,474,Lhemiplegia
502,401,510,471,Lhemiplegia
500,401,506,467,Lhemiplegia
498,411,498,464,Lhemiplegia
497,436,490,462,Lhemiplegia
496,461,483,460,Lhemiplegia
495,470,478,460,Lhemiplegia
503,470,473,476,Lhemiplegia
516,476,471,496,Lhemiplegia
519,459,469,499,Lhemiplegia
519,436,467,500,Lhemiplegia
519,426,466,505,Lhemiplegia
517,420,465,507,Lhemiplegia
515,413,470,507,Lhemiplegia
512,410,505,505,Lhemiplegia
508,409,512,506,Lhemiplegia
506,414,513,495,Lhemiplegia
504,424,510,484,Lhemiplegia
502,462,508,477,Lhemiplegia
500,478,502,471,Lhemiplegia
498,481,492,467,Lhemiplegia
497,481,484,464,Lhemiplegia
496,481,478,463,Lhemiplegia
495,483,474,461,Lhemiplegia
497,482,472,483,Lhemiplegia
511,481,469,497,Lhemiplegia
516,468,467,507,Lhemiplegia
517,445,466,511,Lhemiplegia
517,432,465,514,Lhemiplegia
516,426,464,513,Lhemiplegia
515,419,466,513,Lhemiplegia
513,416,513,511,Lhemiplegia
509,414,519,509,Lhemiplegia
507,407,514,497,Lhemiplegia
504,415,511,486,Lhemiplegia
502,428,508,478,Lhemiplegia
500,451,502,473,Lhemiplegia
498,468,492,468,Lhemiplegia
496,474,484,465,Lhemiplegia
495,478,479,462,Lhemiplegia
496,477,475,462,Lhemiplegia
515,471,472,480,Lhemiplegia
519,469,469,498,Lhemiplegia
519,447,468,499,Lhemiplegia
518,432,466,500,Lhemiplegia
518,423,465,503,Lhemiplegia
516,417,466,505,Lhemiplegia
515,412,464,506,Lhemiplegia
514,409,505,503,Lhemiplegia
509,409,515,503,Lhemiplegia
508,406,515,492,Lhemiplegia
505,402,513,481,Lhemiplegia
503,402,513,475,Lhemiplegia
501,410,511,469,Lhemiplegia
500,441,505,466,Lhemiplegia
498,481,495,464,Lhemiplegia
497,487,487,462,Lhemiplegia
495,487,481,459,Lhemiplegia
496,487,477,467,Lhemiplegia
510,485,473,489,Lhemiplegia
514,470,471,507,Lhemiplegia
515,445,469,512,Lhemiplegia
513,431,467,514,Lhemiplegia
510,423,466,514,Lhemiplegia
507,416,466,513,Lhemiplegia
505,413,495,512,Lhemiplegia
502,410,515,511,Lhemiplegia
501,409,516,503,Lhemiplegia
498,410,514,491,Lhemiplegia
497,421,514,481,Lhemiplegia
496,446,512,475,Lhemiplegia
494,462,508,470,Lhemiplegia
494,470,500,466,Lhemiplegia
493,474,491,464,Lhemiplegia
492,477,484,462,Lhemiplegia
499,476,478,465,Lhemiplegia
508,476,475,487,Lhemiplegia
515,474,472,494,Lhemiplegia
517,448,470,498,Lhemiplegia
517,433,468,501,Lhemiplegia
517,423,466,503,Lhemiplegia
515,416,466,503,Lhemiplegia
514,412,491,504,Lhemiplegia
511,409,510,503,Lhemiplegia
507,408,514,503,Lhemiplegia
505,405,514,491,Lhemiplegia
502,402,512,481,Lhemiplegia
500,401,510,474,Lhemiplegia
499,406,510,469,Lhemiplegia
497,427,507,466,Lhemiplegia
496,463,498,463,Lhemiplegia
494,472,489,461,Lhemiplegia
495,476,482,460,Lhemiplegia
510,474,476,465,Lhemiplegia
517,477,473,489,Lhemiplegia
518,454,470,489,Lhemiplegia
519,435,469,494,Lhemiplegia
520,425,467,496,Lhemiplegia
520,417,466,497,Lhemiplegia
519,413,465,497,Lhemiplegia
518,409,504,495,Lhemiplegia
513,407,518,494,Lhemiplegia
510,405,518,495,Lhemiplegia
508,403,519,484,Lhemiplegia
505,401,517,475,Lhemiplegia
503,400,517,469,Lhemiplegia
501,400,516,465,Lhemiplegia
499,398,514,462,Lhemiplegia
498,398,512,461,Lhemiplegia
496,411,509,459,Lhemiplegia
495,446,500,458,Lhemiplegia
495,469,491,458,Lhemiplegia
507,470,484,479,Lhemiplegia
515,477,480,492,Lhemiplegia
518,450,476,491,Lhemiplegia
519,431,474,492,Lhemiplegia
520,422,472,492,Lhemiplegia
520,414,472,494,Lhemiplegia
520,410,469,495,Lhemiplegia
