sensor1,sensor2,sensor3,sensor4,labels
492,391,505,496,downstairs
490,417,501,490,downstairs
490,498,493,489,downstairs
508,497,486,496,downstairs
514,490,476,494,downstairs
514,468,467,497,downstairs
513,455,461,512,downstairs
512,445,456,520,downstairs
508,440,452,524,downstairs
503,432,450,526,downstairs
500,428,449,527,downstairs
499,424,495,527,downstairs
497,426,504,516,downstairs
496,418,501,507,downstairs
493,416,496,501,downstairs
492,416,492,495,downstairs
490,463,489,490,downstairs
490,497,478,487,downstairs
510,495,468,489,downstairs
514,479,461,484,downstairs
513,459,454,482,downstairs
512,446,451,492,downstairs
510,438,448,509,downstairs
506,431,446,517,downstairs
501,428,444,520,downstairs
500,425,494,523,downstairs
497,423,500,511,downstairs
496,418,497,501,downstairs
494,415,495,493,downstairs
493,415,491,488,downstairs
491,469,485,482,downstairs
490,496,475,480,downstairs
510,491,466,477,downstairs
511,480,458,483,downstairs
510,459,453,489,downstairs
509,446,449,491,downstairs
507,439,446,499,downstairs
503,431,445,506,downstairs
499,427,443,509,downstairs
497,423,443,511,downstairs
496,422,495,513,downstairs
495,417,496,501,downstairs
493,417,498,492,downstairs
491,437,496,486,downstairs
490,458,494,481,downstairs
488,469,491,478,downstairs
487,479,487,476,downstairs
507,490,477,475,downstairs
514,488,469,475,downstairs
514,464,461,474,downstairs
512,449,455,472,downstairs
512,438,450,472,downstairs
508,432,447,474,downstairs
504,426,445,474,downstairs
501,423,443,473,downstairs
499,419,442,474,downstairs
496,416,442,474,downstairs
494,415,501,472,downstairs
493,413,503,475,downstairs
492,409,501,475,downstairs
490,409,502,475,downstairs
489,408,501,475,downstairs
488,406,494,476,downstairs
510,405,483,479,downstairs
516,403,473,478,downstairs
514,403,463,477,downstairs
513,401,457,478,downstairs
512,401,452,477,downstairs
511,399,448,477,downstairs
512,398,447,479,downstairs
509,398,444,479,downstairs
504,396,443,479,downstairs
502,395,496,479,downstairs
500,395,504,478,downstairs
498,394,502,479,downstairs
496,393,500,480,downstairs
495,392,499,480,downstairs
492,393,495,481,downstairs
491,392,485,481,downstairs
516,391,474,483,downstairs
515,390,466,482,downstairs
514,391,458,482,downstairs
512,390,453,482,downstairs
509,389,450,481,downstairs
505,390,447,483,downstairs
502,389,445,483,downstairs
499,388,495,483,downstairs
497,389,507,481,downstairs
495,388,504,486,downstairs
493,388,502,484,downstairs
491,388,502,486,downstairs
490,388,498,485,downstairs
489,388,488,485,downstairs
515,388,478,486,downstairs
514,387,468,485,downstairs
513,387,461,485,downstairs
512,388,456,485,downstairs
506,387,452,485,downstairs
