sensor1,sensor2,sensor3,sensor4,labels
479,483,461,496,jump
498,506,498,505,jump
486,508,492,510,jump
484,508,481,509,jump
483,498,474,495,jump
482,488,470,482,jump
480,497,467,495,jump
497,508,494,501,jump
488,512,488,504,jump
485,511,478,504,jump
484,503,472,490,jump
483,495,468,478,jump
482,496,464,496,jump
505,506,504,504,jump
495,508,500,508,jump
490,509,488,508,jump
488,500,480,494,jump
487,492,475,481,jump
486,503,472,496,jump
501,507,501,502,jump
494,508,499,505,jump
490,507,489,505,jump
488,500,481,492,jump
486,492,476,480,jump
485,504,471,498,jump
488,508,490,505,jump
484,509,479,509,jump
483,507,473,505,jump
483,498,470,489,jump
482,491,466,477,jump
483,504,465,500,jump
487,509,479,507,jump
484,511,469,509,jump
483,505,465,503,jump
482,496,464,488,jump
481,489,460,481,jump
504,505,499,500,jump
