sensor1,sensor2,sensor3,sensor4,labels
514,501,475,480,walk
513,493,471,492,walk
508,486,469,496,walk
501,482,467,499,walk
498,475,464,506,walk
496,472,465,509,walk
495,469,510,506,walk
493,499,515,491,walk
492,503,515,479,walk
491,506,512,471,walk
491,508,510,464,walk
491,510,508,460,walk
491,512,496,457,walk
509,512,486,456,walk
513,501,481,471,walk
513,493,476,480,walk
510,485,473,490,walk
504,481,471,493,walk
499,476,468,501,walk
497,472,467,504,walk
495,470,507,501,walk
494,495,514,486,walk
493,500,514,475,walk
492,504,512,467,walk
491,506,510,461,walk
490,510,509,458,walk
491,512,497,455,walk
511,513,487,455,walk
515,500,481,455,walk
515,491,476,451,walk
514,484,473,468,walk
513,478,471,488,walk
507,474,468,504,walk
501,470,488,508,walk
499,472,514,505,walk
496,497,516,487,walk
495,502,514,476,walk
493,506,512,467,walk
493,509,508,460,walk
492,512,504,457,walk
496,514,491,454,walk
514,506,483,453,walk
515,498,478,454,walk
515,490,475,455,walk
515,484,471,467,walk
513,478,469,482,walk
509,474,467,496,walk
501,470,468,499,walk
500,468,512,494,walk
497,495,514,481,walk
495,504,513,469,walk
494,507,509,462,walk
493,508,507,456,walk
492,511,500,455,walk
492,513,488,451,walk
512,506,481,451,walk
516,499,477,451,walk
516,491,473,449,walk
515,484,470,450,walk
514,478,468,462,walk
511,474,465,489,walk
503,470,464,500,walk
501,469,509,496,walk
498,499,513,481,walk
497,506,512,469,walk
495,508,510,462,walk
494,509,507,457,walk
493,511,503,454,walk
493,514,491,452,walk
509,512,483,451,walk
514,502,478,461,walk
514,493,475,465,walk
512,486,471,483,walk
507,480,469,495,walk
501,475,465,504,walk
498,472,468,509,walk
496,470,508,505,walk
495,496,513,489,walk
493,501,514,477,walk
493,504,511,468,walk
491,506,509,462,walk
491,509,508,458,walk
491,512,497,455,walk
508,512,487,454,walk
515,502,481,455,walk
515,493,477,454,walk
513,486,473,473,walk
510,480,470,484,walk
505,474,468,496,walk
499,470,465,502,walk
498,468,507,504,walk
495,489,514,488,walk
494,500,513,476,walk
493,504,512,467,walk
492,506,509,461,walk
491,509,508,456,walk
491,512,497,453,walk
507,513,487,452,walk
514,503,481,453,walk
513,494,476,453,walk
510,486,474,479,walk
502,481,470,490,walk
498,475,467,504,walk
496,471,466,509,walk
494,468,501,512,walk
493,494,513,495,walk
492,504,512,482,walk
491,507,511,471,walk
490,508,509,464,walk
490,510,506,459,walk
489,512,492,455,walk
508,513,484,454,walk
514,502,479,454,walk
514,493,475,453,walk
512,486,472,472,walk
508,481,468,490,walk
502,475,466,499,walk
498,472,465,509,walk
496,469,508,506,walk
494,497,512,488,walk
493,505,511,476,walk
492,507,509,467,walk
491,508,507,461,walk
490,509,498,457,walk
493,513,488,454,walk
510,506,480,453,walk
513,498,476,453,walk
513,490,472,465,walk
512,482,469,481,walk
508,478,466,492,walk
502,472,463,499,walk
498,469,465,507,walk
496,467,511,503,walk
495,497,514,486,walk
493,503,512,475,walk
492,506,513,467,walk
491,506,510,460,walk
490,508,507,456,walk
490,511,496,453,walk
508,511,486,453,walk
513,502,480,455,walk
514,493,477,455,walk
514,486,472,473,walk
511,479,470,487,walk
506,474,467,494,walk
501,471,466,502,walk
498,467,464,504,walk
496,465,509,501,walk
494,500,511,485,walk
493,506,510,474,walk
492,508,508,466,walk
491,508,504,460,walk
490,510,500,456,walk
490,511,487,454,walk
507,511,480,453,walk
512,502,475,453,walk
512,493,472,458,walk
512,486,469,478,walk
508,480,465,486,walk
503,475,464,495,walk
497,471,462,501,walk
496,468,476,501,walk
494,467,512,489,walk
492,501,512,479,walk
491,507,512,470,walk
490,508,510,463,walk
489,508,507,457,walk
489,511,504,454,walk
490,513,491,452,walk
508,512,483,454,walk
512,502,478,456,walk
512,494,474,472,walk
510,487,471,487,walk
505,481,468,497,walk
500,475,466,508,walk
496,472,464,510,walk
495,469,506,510,walk
493,494,513,494,walk
492,504,513,482,walk
491,508,510,472,walk
490,510,508,465,walk
489,512,504,460,walk
489,514,491,456,walk
500,515,483,453,walk
512,505,478,453,walk
514,496,475,453,walk
513,488,471,471,walk
513,482,468,485,walk
513,476,465,495,walk
506,472,463,501,walk
500,469,497,506,walk
498,481,512,497,walk
495,503,513,483,walk
494,506,512,472,walk
492,508,510,464,walk
491,509,507,459,walk
491,510,504,455,walk
491,512,491,453,walk
509,512,483,452,walk
513,501,478,456,walk
513,492,475,473,walk
510,486,471,489,walk
504,480,468,496,walk
499,475,465,498,walk
496,471,464,502,walk
494,468,476,501,walk
492,474,511,489,walk
492,503,512,478,walk
491,505,511,469,walk
490,507,510,462,walk
489,508,508,457,walk
489,509,499,454,walk
488,511,488,451,walk
503,510,481,450,walk
513,502,476,450,walk
514,493,473,449,walk
514,486,470,448,walk
513,479,466,448,walk
512,475,466,471,walk
505,470,463,495,walk
500,467,463,504,walk
497,465,509,498,walk
495,500,511,481,walk
493,505,511,470,walk
492,507,509,462,walk
491,508,508,457,walk
489,509,502,454,walk
490,514,490,451,walk
508,513,482,450,walk
512,499,477,451,walk
512,490,473,473,walk
511,483,471,486,walk
507,478,467,496,walk
500,473,465,506,walk
497,469,463,510,walk
495,465,509,510,walk
493,498,513,492,walk
491,505,512,479,walk
491,508,510,470,walk
490,509,506,463,walk
489,511,501,458,walk
488,512,488,455,walk
